*N,acc_svm,acc_tree,acc_nsc,acc_naive_bayes,groups
1,0.650793650794,0.386243386243,0.539682539683,0.650793650794,Pep1
1,0.698412698413,0.708994708995,0.349206349206,0.587301587302,Pep2
1,0.783068783069,0.650793650794,0.820105820106,0.783068783069,Pep3
1,0.73544973545,0.708994708995,0.772486772487,0.73544973545,Pep4
1,0.650793650794,0.719576719577,0.492063492063,0.57671957672,Pep5
1,0.698412698413,0.555555555556,0.73544973545,0.783068783069,Pep6
1,0.73544973545,0.650793650794,0.671957671958,0.73544973545,Pep7
1,0.698412698413,0.698412698413,0.724867724868,0.772486772487,Pep8
1,0.698412698413,0.746031746032,0.746031746032,0.698412698413,Pep9
1,0.603174603175,0.698412698413,0.492063492063,0.698412698413,Pep10
1,0.698412698413,0.650793650794,0.793650793651,0.746031746032,Pep11
1,0.746031746032,0.708994708995,0.746031746032,0.746031746032,Pep12
1,0.698412698413,0.518518518519,0.650793650794,0.73544973545,Pep13
1,0.698412698413,0.698412698413,0.587301587302,0.587301587302,Pep14
1,0.746031746032,0.661375661376,0.783068783069,0.698412698413,Pep15
1,0.698412698413,0.555555555556,0.507936507937,0.555555555556,Pep16
1,0.698412698413,0.539682539683,0.349206349206,0.555555555556,Pep17
3,0.650793650794,0.603174603175,0.349206349206,0.433862433862,Pep5,Pep16,Pep17
3,0.783068783069,0.650793650794,0.820105820106,0.820105820106,Pep6,Pep7,Pep8
3,0.746031746032,0.746031746032,0.820105820106,0.783068783069,Pep6,Pep7,Pep9
3,0.650793650794,0.640211640212,0.73544973545,0.783068783069,Pep6,Pep7,Pep10
3,0.698412698413,0.698412698413,0.783068783069,0.746031746032,Pep6,Pep7,Pep11
3,0.746031746032,0.698412698413,0.820105820106,0.746031746032,Pep6,Pep7,Pep12
3,0.661375661376,0.57671957672,0.746031746032,0.783068783069,Pep6,Pep7,Pep13
3,0.73544973545,0.650793650794,0.783068783069,0.73544973545,Pep6,Pep7,Pep14
3,0.783068783069,0.661375661376,0.820105820106,0.73544973545,Pep6,Pep7,Pep15
3,0.73544973545,0.698412698413,0.73544973545,0.73544973545,Pep6,Pep7,Pep16
3,0.783068783069,0.746031746032,0.830687830688,0.73544973545,Pep6,Pep7,Pep17
3,0.783068783069,0.698412698413,0.820105820106,0.820105820106,Pep6,Pep8,Pep9
3,0.603174603175,0.73544973545,0.724867724868,0.820105820106,Pep6,Pep8,Pep10
3,0.746031746032,0.613756613757,0.783068783069,0.820105820106,Pep6,Pep8,Pep11
3,0.746031746032,0.566137566138,0.783068783069,0.820105820106,Pep6,Pep8,Pep12
3,0.73544973545,0.529100529101,0.772486772487,0.783068783069,Pep6,Pep8,Pep13
3,0.698412698413,0.566137566138,0.772486772487,0.820105820106,Pep6,Pep8,Pep14
3,0.746031746032,0.539682539683,0.73544973545,0.820105820106,Pep6,Pep8,Pep15
3,0.698412698413,0.650793650794,0.772486772487,0.772486772487,Pep6,Pep8,Pep16
3,0.698412698413,0.73544973545,0.724867724868,0.772486772487,Pep6,Pep8,Pep17
3,0.650793650794,0.698412698413,0.73544973545,0.746031746032,Pep6,Pep9,Pep10
3,0.698412698413,0.746031746032,0.783068783069,0.746031746032,Pep6,Pep9,Pep11
3,0.746031746032,0.793650793651,0.783068783069,0.783068783069,Pep6,Pep9,Pep12
3,0.783068783069,0.698412698413,0.746031746032,0.73544973545,Pep6,Pep9,Pep13
3,0.698412698413,0.698412698413,0.783068783069,0.73544973545,Pep6,Pep9,Pep14
3,0.793650793651,0.746031746032,0.783068783069,0.73544973545,Pep6,Pep9,Pep15
3,0.698412698413,0.746031746032,0.73544973545,0.687830687831,Pep6,Pep9,Pep16
3,0.746031746032,0.746031746032,0.783068783069,0.73544973545,Pep6,Pep9,Pep17
3,0.650793650794,0.661375661376,0.73544973545,0.746031746032,Pep6,Pep10,Pep11
3,0.746031746032,0.603174603175,0.73544973545,0.746031746032,Pep6,Pep10,Pep12
3,0.687830687831,0.640211640212,0.687830687831,0.746031746032,Pep6,Pep10,Pep13
3,0.603174603175,0.687830687831,0.687830687831,0.698412698413,Pep6,Pep10,Pep14
3,0.746031746032,0.613756613757,0.687830687831,0.698412698413,Pep6,Pep10,Pep15
3,0.603174603175,0.687830687831,0.640211640212,0.698412698413,Pep6,Pep10,Pep16
3,0.603174603175,0.640211640212,0.687830687831,0.698412698413,Pep6,Pep10,Pep17
3,0.698412698413,0.555555555556,0.783068783069,0.746031746032,Pep6,Pep11,Pep12
3,0.650793650794,0.518518518519,0.746031746032,0.746031746032,Pep6,Pep11,Pep13
3,0.650793650794,0.566137566138,0.783068783069,0.746031746032,Pep6,Pep11,Pep14
3,0.698412698413,0.624338624339,0.783068783069,0.698412698413,Pep6,Pep11,Pep15
3,0.698412698413,0.746031746032,0.73544973545,0.746031746032,Pep6,Pep11,Pep16
3,0.698412698413,0.671957671958,0.783068783069,0.746031746032,Pep6,Pep11,Pep17
3,0.746031746032,0.555555555556,0.783068783069,0.783068783069,Pep6,Pep12,Pep13
3,0.698412698413,0.650793650794,0.783068783069,0.783068783069,Pep6,Pep12,Pep14
3,0.746031746032,0.661375661376,0.783068783069,0.698412698413,Pep6,Pep12,Pep15
3,0.746031746032,0.603174603175,0.783068783069,0.746031746032,Pep6,Pep12,Pep16
3,0.746031746032,0.587301587302,0.783068783069,0.783068783069,Pep6,Pep12,Pep17
3,0.687830687831,0.555555555556,0.73544973545,0.73544973545,Pep6,Pep13,Pep14
3,0.746031746032,0.57671957672,0.73544973545,0.73544973545,Pep6,Pep13,Pep15
3,0.687830687831,0.650793650794,0.687830687831,0.73544973545,Pep6,Pep13,Pep16
3,0.73544973545,0.650793650794,0.698412698413,0.73544973545,Pep6,Pep13,Pep17
3,0.746031746032,0.624338624339,0.73544973545,0.73544973545,Pep6,Pep14,Pep15
3,0.650793650794,0.746031746032,0.73544973545,0.687830687831,Pep6,Pep14,Pep16
3,0.687830687831,0.687830687831,0.73544973545,0.687830687831,Pep6,Pep14,Pep17
3,0.746031746032,0.613756613757,0.73544973545,0.73544973545,Pep6,Pep15,Pep16
3,0.746031746032,0.661375661376,0.73544973545,0.687830687831,Pep6,Pep15,Pep17
3,0.73544973545,0.746031746032,0.687830687831,0.73544973545,Pep6,Pep16,Pep17
3,0.783068783069,0.793650793651,0.820105820106,0.820105820106,Pep7,Pep8,Pep9
3,0.746031746032,0.708994708995,0.73544973545,0.820105820106,Pep7,Pep8,Pep10
3,0.746031746032,0.793650793651,0.783068783069,0.820105820106,Pep7,Pep8,Pep11
3,0.746031746032,0.698412698413,0.820105820106,0.820105820106,Pep7,Pep8,Pep12
3,0.746031746032,0.57671957672,0.746031746032,0.783068783069,Pep7,Pep8,Pep13
3,0.783068783069,0.708994708995,0.820105820106,0.820105820106,Pep7,Pep8,Pep14
3,0.746031746032,0.613756613757,0.820105820106,0.820105820106,Pep7,Pep8,Pep15
3,0.746031746032,0.746031746032,0.820105820106,0.772486772487,Pep7,Pep8,Pep16
3,0.783068783069,0.698412698413,0.73544973545,0.772486772487,Pep7,Pep8,Pep17
3,0.650793650794,0.650793650794,0.698412698413,0.73544973545,Pep7,Pep9,Pep10
3,0.650793650794,0.698412698413,0.783068783069,0.746031746032,Pep7,Pep9,Pep11
3,0.746031746032,0.746031746032,0.820105820106,0.746031746032,Pep7,Pep9,Pep12
3,0.698412698413,0.698412698413,0.746031746032,0.73544973545,Pep7,Pep9,Pep13
3,0.698412698413,0.746031746032,0.746031746032,0.73544973545,Pep7,Pep9,Pep14
3,0.746031746032,0.661375661376,0.867724867725,0.698412698413,Pep7,Pep9,Pep15
3,0.698412698413,0.746031746032,0.746031746032,0.687830687831,Pep7,Pep9,Pep16
3,0.698412698413,0.746031746032,0.793650793651,0.73544973545,Pep7,Pep9,Pep17
3,0.603174603175,0.650793650794,0.73544973545,0.746031746032,Pep7,Pep10,Pep11
3,0.746031746032,0.650793650794,0.73544973545,0.746031746032,Pep7,Pep10,Pep12
3,0.624338624339,0.57671957672,0.698412698413,0.746031746032,Pep7,Pep10,Pep13
3,0.698412698413,0.73544973545,0.624338624339,0.698412698413,Pep7,Pep10,Pep14
3,0.783068783069,0.566137566138,0.772486772487,0.698412698413,Pep7,Pep10,Pep15
3,0.698412698413,0.650793650794,0.661375661376,0.73544973545,Pep7,Pep10,Pep16
3,0.698412698413,0.698412698413,0.624338624339,0.698412698413,Pep7,Pep10,Pep17
3,0.746031746032,0.746031746032,0.746031746032,0.746031746032,Pep7,Pep11,Pep12
3,0.698412698413,0.650793650794,0.746031746032,0.746031746032,Pep7,Pep11,Pep13
3,0.650793650794,0.650793650794,0.783068783069,0.698412698413,Pep7,Pep11,Pep14
3,0.698412698413,0.708994708995,0.746031746032,0.698412698413,Pep7,Pep11,Pep15
3,0.698412698413,0.698412698413,0.746031746032,0.793650793651,Pep7,Pep11,Pep16
3,0.698412698413,0.650793650794,0.783068783069,0.793650793651,Pep7,Pep11,Pep17
3,0.746031746032,0.661375661376,0.708994708995,0.746031746032,Pep7,Pep12,Pep13
3,0.746031746032,0.698412698413,0.783068783069,0.746031746032,Pep7,Pep12,Pep14
3,0.746031746032,0.708994708995,0.820105820106,0.698412698413,Pep7,Pep12,Pep15
3,0.746031746032,0.698412698413,0.783068783069,0.746031746032,Pep7,Pep12,Pep16
3,0.746031746032,0.746031746032,0.820105820106,0.793650793651,Pep7,Pep12,Pep17
3,0.624338624339,0.57671957672,0.783068783069,0.698412698413,Pep7,Pep13,Pep14
3,0.746031746032,0.613756613757,0.746031746032,0.698412698413,Pep7,Pep13,Pep15
3,0.661375661376,0.613756613757,0.746031746032,0.650793650794,Pep7,Pep13,Pep16
3,0.624338624339,0.613756613757,0.746031746032,0.73544973545,Pep7,Pep13,Pep17
3,0.746031746032,0.708994708995,0.820105820106,0.698412698413,Pep7,Pep14,Pep15
3,0.698412698413,0.603174603175,0.746031746032,0.73544973545,Pep7,Pep14,Pep16
3,0.73544973545,0.698412698413,0.671957671958,0.73544973545,Pep7,Pep14,Pep17
3,0.746031746032,0.708994708995,0.820105820106,0.650793650794,Pep7,Pep15,Pep16
3,0.746031746032,0.661375661376,0.867724867725,0.698412698413,Pep7,Pep15,Pep17
3,0.783068783069,0.698412698413,0.624338624339,0.640211640212,Pep7,Pep16,Pep17
3,0.746031746032,0.698412698413,0.772486772487,0.820105820106,Pep8,Pep9,Pep10
3,0.698412698413,0.698412698413,0.783068783069,0.820105820106,Pep8,Pep9,Pep11
3,0.746031746032,0.793650793651,0.820105820106,0.820105820106,Pep8,Pep9,Pep12
3,0.746031746032,0.650793650794,0.783068783069,0.783068783069,Pep8,Pep9,Pep13
3,0.746031746032,0.793650793651,0.820105820106,0.820105820106,Pep8,Pep9,Pep14
3,0.746031746032,0.756613756614,0.820105820106,0.820105820106,Pep8,Pep9,Pep15
3,0.746031746032,0.746031746032,0.820105820106,0.724867724868,Pep8,Pep9,Pep16
3,0.746031746032,0.746031746032,0.772486772487,0.772486772487,Pep8,Pep9,Pep17
3,0.746031746032,0.624338624339,0.746031746032,0.783068783069,Pep8,Pep10,Pep11
3,0.746031746032,0.613756613757,0.820105820106,0.783068783069,Pep8,Pep10,Pep12
3,0.73544973545,0.613756613757,0.687830687831,0.73544973545,Pep8,Pep10,Pep13
3,0.746031746032,0.698412698413,0.772486772487,0.772486772487,Pep8,Pep10,Pep14
3,0.746031746032,0.661375661376,0.772486772487,0.820105820106,Pep8,Pep10,Pep15
3,0.746031746032,0.624338624339,0.724867724868,0.772486772487,Pep8,Pep10,Pep16
3,0.746031746032,0.634920634921,0.724867724868,0.724867724868,Pep8,Pep10,Pep17
3,0.698412698413,0.603174603175,0.746031746032,0.820105820106,Pep8,Pep11,Pep12
3,0.746031746032,0.687830687831,0.783068783069,0.783068783069,Pep8,Pep11,Pep13
3,0.746031746032,0.793650793651,0.746031746032,0.820105820106,Pep8,Pep11,Pep14
3,0.698412698413,0.613756613757,0.783068783069,0.820105820106,Pep8,Pep11,Pep15
3,0.746031746032,0.746031746032,0.746031746032,0.820105820106,Pep8,Pep11,Pep16
3,0.746031746032,0.671957671958,0.73544973545,0.820105820106,Pep8,Pep11,Pep17
3,0.746031746032,0.518518518519,0.820105820106,0.783068783069,Pep8,Pep12,Pep13
3,0.746031746032,0.613756613757,0.820105820106,0.820105820106,Pep8,Pep12,Pep14
3,0.746031746032,0.539682539683,0.783068783069,0.820105820106,Pep8,Pep12,Pep15
3,0.746031746032,0.661375661376,0.783068783069,0.772486772487,Pep8,Pep12,Pep16
3,0.746031746032,0.634920634921,0.820105820106,0.820105820106,Pep8,Pep12,Pep17
3,0.698412698413,0.613756613757,0.698412698413,0.73544973545,Pep8,Pep13,Pep14
3,0.746031746032,0.57671957672,0.772486772487,0.783068783069,Pep8,Pep13,Pep15
3,0.698412698413,0.613756613757,0.746031746032,0.73544973545,Pep8,Pep13,Pep16
3,0.746031746032,0.492063492063,0.73544973545,0.73544973545,Pep8,Pep13,Pep17
3,0.746031746032,0.661375661376,0.772486772487,0.820105820106,Pep8,Pep14,Pep15
3,0.746031746032,0.746031746032,0.820105820106,0.820105820106,Pep8,Pep14,Pep16
3,0.746031746032,0.587301587302,0.820105820106,0.820105820106,Pep8,Pep14,Pep17
3,0.746031746032,0.708994708995,0.772486772487,0.772486772487,Pep8,Pep15,Pep16
3,0.746031746032,0.613756613757,0.820105820106,0.820105820106,Pep8,Pep15,Pep17
3,0.698412698413,0.587301587302,0.724867724868,0.677248677249,Pep8,Pep16,Pep17
3,0.555555555556,0.746031746032,0.698412698413,0.746031746032,Pep9,Pep10,Pep11
3,0.698412698413,0.698412698413,0.73544973545,0.746031746032,Pep9,Pep10,Pep12
3,0.650793650794,0.650793650794,0.698412698413,0.698412698413,Pep9,Pep10,Pep13
3,0.698412698413,0.698412698413,0.698412698413,0.73544973545,Pep9,Pep10,Pep14
3,0.746031746032,0.661375661376,0.73544973545,0.698412698413,Pep9,Pep10,Pep15
3,0.650793650794,0.698412698413,0.687830687831,0.687830687831,Pep9,Pep10,Pep16
3,0.650793650794,0.698412698413,0.73544973545,0.73544973545,Pep9,Pep10,Pep17
3,0.698412698413,0.793650793651,0.746031746032,0.746031746032,Pep9,Pep11,Pep12
3,0.650793650794,0.650793650794,0.746031746032,0.746031746032,Pep9,Pep11,Pep13
3,0.650793650794,0.603174603175,0.746031746032,0.698412698413,Pep9,Pep11,Pep14
3,0.698412698413,0.708994708995,0.746031746032,0.698412698413,Pep9,Pep11,Pep15
3,0.650793650794,0.793650793651,0.746031746032,0.746031746032,Pep9,Pep11,Pep16
3,0.650793650794,0.746031746032,0.746031746032,0.793650793651,Pep9,Pep11,Pep17
3,0.746031746032,0.793650793651,0.783068783069,0.746031746032,Pep9,Pep12,Pep13
3,0.746031746032,0.793650793651,0.783068783069,0.746031746032,Pep9,Pep12,Pep14
3,0.746031746032,0.661375661376,0.783068783069,0.698412698413,Pep9,Pep12,Pep15
3,0.746031746032,0.793650793651,0.783068783069,0.746031746032,Pep9,Pep12,Pep16
3,0.746031746032,0.746031746032,0.783068783069,0.793650793651,Pep9,Pep12,Pep17
3,0.698412698413,0.650793650794,0.783068783069,0.73544973545,Pep9,Pep13,Pep14
3,0.783068783069,0.613756613757,0.783068783069,0.73544973545,Pep9,Pep13,Pep15
3,0.698412698413,0.650793650794,0.73544973545,0.687830687831,Pep9,Pep13,Pep16
3,0.698412698413,0.698412698413,0.746031746032,0.73544973545,Pep9,Pep13,Pep17
3,0.746031746032,0.746031746032,0.783068783069,0.698412698413,Pep9,Pep14,Pep15
3,0.698412698413,0.793650793651,0.73544973545,0.698412698413,Pep9,Pep14,Pep16
3,0.698412698413,0.793650793651,0.783068783069,0.73544973545,Pep9,Pep14,Pep17
3,0.746031746032,0.698412698413,0.783068783069,0.698412698413,Pep9,Pep15,Pep16
3,0.746031746032,0.708994708995,0.783068783069,0.783068783069,Pep9,Pep15,Pep17
3,0.746031746032,0.793650793651,0.698412698413,0.592592592593,Pep9,Pep16,Pep17
3,0.746031746032,0.529100529101,0.698412698413,0.746031746032,Pep10,Pep11,Pep12
3,0.698412698413,0.529100529101,0.661375661376,0.746031746032,Pep10,Pep11,Pep13
3,0.698412698413,0.57671957672,0.698412698413,0.698412698413,Pep10,Pep11,Pep14
3,0.698412698413,0.566137566138,0.698412698413,0.698412698413,Pep10,Pep11,Pep15
3,0.698412698413,0.603174603175,0.650793650794,0.793650793651,Pep10,Pep11,Pep16
3,0.661375661376,0.57671957672,0.698412698413,0.746031746032,Pep10,Pep11,Pep17
3,0.746031746032,0.566137566138,0.698412698413,0.746031746032,Pep10,Pep12,Pep13
3,0.746031746032,0.566137566138,0.698412698413,0.746031746032,Pep10,Pep12,Pep14
3,0.746031746032,0.613756613757,0.698412698413,0.698412698413,Pep10,Pep12,Pep15
3,0.746031746032,0.518518518519,0.698412698413,0.746031746032,Pep10,Pep12,Pep16
3,0.746031746032,0.566137566138,0.698412698413,0.793650793651,Pep10,Pep12,Pep17
3,0.698412698413,0.555555555556,0.529100529101,0.661375661376,Pep10,Pep13,Pep14
3,0.746031746032,0.57671957672,0.687830687831,0.698412698413,Pep10,Pep13,Pep15
3,0.613756613757,0.529100529101,0.566137566138,0.518518518519,Pep10,Pep13,Pep16
3,0.698412698413,0.539682539683,0.587301587302,0.518518518519,Pep10,Pep13,Pep17
3,0.746031746032,0.613756613757,0.650793650794,0.698412698413,Pep10,Pep14,Pep15
3,0.698412698413,0.650793650794,0.566137566138,0.698412698413,Pep10,Pep14,Pep16
3,0.698412698413,0.624338624339,0.550264550265,0.661375661376,Pep10,Pep14,Pep17
3,0.746031746032,0.566137566138,0.650793650794,0.650793650794,Pep10,Pep15,Pep16
3,0.746031746032,0.566137566138,0.687830687831,0.698412698413,Pep10,Pep15,Pep17
3,0.650793650794,0.624338624339,0.492063492063,0.592592592593,Pep10,Pep16,Pep17
3,0.698412698413,0.603174603175,0.746031746032,0.746031746032,Pep11,Pep12,Pep13
3,0.650793650794,0.555555555556,0.746031746032,0.
